"lat"	"lon"	"elevation"	"timestamps"
65.4354750551283	-19.6777571272105	424.99	2023-03-24 09:43:51
65.4355939105153	-19.6777053270489	424.83	2023-03-24 09:44:07
65.4356514103711	-19.6777176484466	428	2023-03-24 09:44:17
65.4357504006475	-19.6776985377073	425.3	2023-03-24 09:44:30
65.4358850140125	-19.6777075063437	426.11	2023-03-24 09:44:47
65.4360176157206	-19.6776744816452	426.63	2023-03-24 09:45:05
65.4361280053854	-19.6776334103197	426.31	2023-03-24 09:45:22
65.436248453334	-19.6775791794062	427.71	2023-03-24 09:45:39
65.4363457672298	-19.6775456517935	428.11	2023-03-24 09:45:54
65.4364186059684	-19.6774843800813	428.88	2023-03-24 09:46:10
65.4365155845881	-19.6774726454169	429.6	2023-03-24 09:46:26
65.4365792870522	-19.6775054186583	430.32	2023-03-24 09:46:38
65.4366522096097	-19.6774979587644	431.41	2023-03-24 09:46:53
65.4367303289473	-19.6774268802255	431.96	2023-03-24 09:47:07
65.4368355218321	-19.6774721425027	433.31	2023-03-24 09:47:25
65.4369265493006	-19.6775166504085	434.05	2023-03-24 09:47:41
65.4370314069092	-19.6774977073073	435.42	2023-03-24 09:47:59
65.4371037427336	-19.6774208452553	436.47	2023-03-24 09:48:16
65.4371904954314	-19.6774504333735	437.88	2023-03-24 09:48:31
65.4372711293399	-19.677435932681	437.85	2023-03-24 09:48:45
65.4373443871737	-19.6774521097541	438.89	2023-03-24 09:49:02
65.4373971093446	-19.6773901674896	438.9	2023-03-24 09:49:16
65.4374998714775	-19.6773678716272	440.33	2023-03-24 09:49:33
65.4375722911209	-19.6774394530803	439.75	2023-03-24 09:49:46
65.4376602172852	-19.6774698793888	440.36	2023-03-24 09:50:00
65.4377132747322	-19.6775314863771	439.59	2023-03-24 09:50:14
65.4377962555736	-19.6775811072439	441.01	2023-03-24 09:50:30
65.4378720279783	-19.6775697078556	440.64	2023-03-24 09:50:46
65.4379442799836	-19.6775478310883	441.66	2023-03-24 09:50:59
65.4379533324391	-19.6775320731103	442.78	2023-03-24 09:51:01
65.4380442760885	-19.6775667741895	442.31	2023-03-24 09:51:16
65.438132956624	-19.6775645110756	443.45	2023-03-24 09:51:30
65.4381783027202	-19.6775297261775	443.61	2023-03-24 09:51:39
65.4382616188377	-19.6775386109948	442.87	2023-03-24 09:51:52
65.438338983804	-19.6775613259524	443.82	2023-03-24 09:52:06
65.4384193662554	-19.6775442268699	444.67	2023-03-24 09:52:22
65.4385280795395	-19.6775837894529	444.52	2023-03-24 09:52:37
65.4386125691235	-19.6776003856212	444.67	2023-03-24 09:52:50
65.4387151636183	-19.6775844600052	446.15	2023-03-24 09:53:05
65.4387922771275	-19.6775539498776	447.44	2023-03-24 09:53:20
65.4387968871742	-19.677544478327	447.48	2023-03-24 09:53:21
65.4388894233853	-19.6775120403618	448.18	2023-03-24 09:53:37
65.4390060156584	-19.6775164827704	449.88	2023-03-24 09:53:54
65.4390696343035	-19.677478345111	451.72	2023-03-24 09:54:07
65.4391724802554	-19.677475746721	451.78	2023-03-24 09:54:23
65.4392867255956	-19.6774269640446	453.71	2023-03-24 09:54:42
65.4393992945552	-19.6774563007057	453.79	2023-03-24 09:54:59
65.4394920822233	-19.6774406265467	455.24	2023-03-24 09:55:13
65.439507253468	-19.6774630062282	454.89	2023-03-24 09:55:15
65.4395819362253	-19.6774987969548	455.61	2023-03-24 09:55:32
65.4396000411361	-19.6774736512452	454.59	2023-03-24 09:55:47
65.4395951796323	-19.6774534508586	458.22	2023-03-24 09:55:59
65.4396007116884	-19.6774522773921	456.55	2023-03-24 09:56:03
65.4396700300276	-19.6774178277701	457.28	2023-03-24 09:56:18
65.4397017136216	-19.6774509362876	454.68	2023-03-24 09:56:32
65.4397082515061	-19.6774589829147	459.49	2023-03-24 09:56:33
65.4397137835622	-19.6774657722563	458.35	2023-03-24 09:56:34
65.4397267755121	-19.6774893254042	457.25	2023-03-24 09:56:36
65.4397880472243	-19.677517991513	458.52	2023-03-24 09:56:48
65.4398565273732	-19.6774740703404	459.79	2023-03-24 09:57:02
65.4399704374373	-19.6774371061474	461.48	2023-03-24 09:57:20
65.4400373250246	-19.6774212643504	462.71	2023-03-24 09:57:34
65.4401047155261	-19.6773959510028	463.49	2023-03-24 09:57:49
65.4401835054159	-19.6773203462362	464.99	2023-03-24 09:58:07
65.4402348864824	-19.6773972082883	465.26	2023-03-24 09:58:25
65.4402943979949	-19.6774661913514	466.01	2023-03-24 09:58:41
65.4403068032116	-19.6774842962623	466.14	2023-03-24 09:58:43
65.4403795581311	-19.6775914169848	466.78	2023-03-24 09:58:59
65.4404708370566	-19.6775802690536	469.22	2023-03-24 09:59:19
65.4405371379107	-19.6775563806295	470.41	2023-03-24 09:59:36
65.4406199511141	-19.6775720547885	471.2	2023-03-24 09:59:53
65.4406789597124	-19.6775615774095	472.31	2023-03-24 10:00:08
65.4407441709191	-19.6776695363224	472.67	2023-03-24 10:00:21
65.4407920315862	-19.6776780020446	473.31	2023-03-24 10:00:37
65.4408142436296	-19.6776616573334	474.39	2023-03-24 10:00:43
65.4408226255327	-19.6776562090963	474.12	2023-03-24 10:00:47
65.4409149941057	-19.6778125315905	474.45	2023-03-24 10:01:03
65.4409926943481	-19.6778779942542	475.8	2023-03-24 10:01:18
65.4410887509584	-19.6779210772365	476.64	2023-03-24 10:01:35
65.4411757551134	-19.6779345721006	476.15	2023-03-24 10:01:50
65.4412135574967	-19.6779206581414	479.45	2023-03-24 10:01:58
65.4412165749818	-19.6779161319137	479.74	2023-03-24 10:01:59
65.4412767570466	-19.6779056545347	479.32	2023-03-24 10:02:12
65.4413400404155	-19.677893249318	480.29	2023-03-24 10:02:27
65.441423105076	-19.6778738033026	481.67	2023-03-24 10:02:42
65.4414923395962	-19.67787749134	483.43	2023-03-24 10:02:56
65.4415042418987	-19.6778735518456	482.48	2023-03-24 10:02:58
65.4415958561003	-19.6778586320579	484	2023-03-24 10:03:16
65.4416997916996	-19.6778330672532	485.32	2023-03-24 10:03:35
65.4417935851961	-19.6777924150229	486.94	2023-03-24 10:03:52
65.4418842773885	-19.6778126154095	488.04	2023-03-24 10:04:09
65.4419525060803	-19.6777941752225	489	2023-03-24 10:04:23
65.4420347325504	-19.6778009645641	490.51	2023-03-24 10:04:39
65.442112935707	-19.6778335701674	491.09	2023-03-24 10:04:55
65.4422193858773	-19.6778898965567	492.02	2023-03-24 10:05:13
65.4423223156482	-19.6779151260853	493.9	2023-03-24 10:05:32
65.4424138460308	-19.6779399365187	494.07	2023-03-24 10:05:49
65.4425534047186	-19.6779270283878	495.31	2023-03-24 10:06:08
65.4426450189203	-19.6778629068285	496.5	2023-03-24 10:06:24
65.4427482001483	-19.67777707614	497.59	2023-03-24 10:06:43
65.4427598509938	-19.6777799259871	499.64	2023-03-24 10:06:49
65.442800251767	-19.6777631621808	497.37	2023-03-24 10:06:57
65.4428513813764	-19.6777684427798	501.04	2023-03-24 10:07:04
65.4429741762578	-19.6777145471424	499.78	2023-03-24 10:07:21
65.4430867452174	-19.6776532754302	502.86	2023-03-24 10:07:40
65.4431650321931	-19.6776349190623	502.61	2023-03-24 10:07:54
65.4432828817517	-19.6775878127664	503.28	2023-03-24 10:08:14
65.4433970432729	-19.6775277983397	505.98	2023-03-24 10:08:35
65.4434438142926	-19.677491588518	508.26	2023-03-24 10:08:45
65.4434539563954	-19.6774866431952	506.17	2023-03-24 10:08:50
